Method,GUID,Leaky,Random,Re-use,Sync,Cache,Format,Ops/sec,Deviation,Mean,MOE,RME,Samples,SEM,Variance
sodium-native,Y,N,Y,Y,Y,65536,hex,2557473.907631698,5.193171472068782e-9,3.910108318274229e-7,1.061194084464412e-9,0.2713976181950842,92,5.414255532981694e-10,2.696902993830904e-17
sodium-native,Y,N,Y,N,Y,65536,buffer,3604542.984553228,7.877098308921095e-9,2.774276806478275e-7,1.6552466236882047e-9,0.5966407605120736,87,8.445135835143902e-10,6.204867776840757e-17
sodium-native,Y,N,Y,Y,Y,65536,buffer,3640686.89603865,2.841332005828702e-9,2.7467344173103094e-7,6.22634328144523e-10,0.2266816639499594,80,3.176705755839403e-10,8.073167567346555e-18
crypto.randomBytes,Y,N,Y,N,N,,hex,83949.06640228392,8.156286206217219e-7,0.000011911984764762006,1.7653938203973445e-7,1.4820316305471835,82,9.00711132855788e-8,6.652500467772927e-13
crypto.randomBytes,Y,N,Y,N,Y,,hex,442478.58798888995,8.448979475747793e-8,0.0000022599963639937954,1.7455772444287215e-8,0.7723805543403581,90,8.90600634912613e-9,7.138525418160746e-15
crypto.randomBytes,Y,N,Y,N,N,,buffer,87390.38904626838,6.846413787990702e-7,0.000011442905918070182,1.4909967804957528e-7,1.3029878871425744,81,7.60712643110078e-8,4.687338175638919e-13
crypto.randomBytes,Y,N,Y,N,Y,,buffer,416478.28853982355,1.2503790821440929e-7,0.000002401085548795373,2.6582040060166136e-8,1.1070842550155022,85,1.3562265336819458e-8,1.5634478490635038e-14
crypto.randomBytes,Y,N,Y,N,Y,256,hex,1314261.0219626438,1.6196803487773173e-8,7.608838604272506e-7,3.34629426925413e-9,0.4397904126097671,90,1.7072929945174131e-9,2.623364432215413e-16
crypto.randomBytes,Y,N,Y,Y,Y,256,hex,1320407.0400358436,2.7250217222038893e-8,7.573422207540291e-7,5.568421815441819e-9,0.735258336699855,92,2.841031538490724e-9,7.42574338648305e-16
crypto.randomBytes,Y,N,Y,N,N,256,hex,597488.9555286837,1.6571129362491253e-7,0.00000167367110428871,3.7013726912840024e-8,2.2115293033376715,77,1.8884554547367358e-8,2.746023283484198e-14
crypto.randomBytes,Y,N,Y,Y,N,256,hex,574436.4568321673,1.781321310081524e-7,0.0000017408365853286523,3.978807905791868e-8,2.2855723158188965,77,2.0300040335672794e-8,3.173105609750557e-14
crypto.randomBytes,Y,N,Y,N,Y,256,buffer,1660535.3210093982,1.3565851226838654e-8,6.02215434593782e-7,2.772102009354717e-9,0.4603173299974632,92,1.4143377598748555e-9,1.8403231950871982e-16
crypto.randomBytes,Y,N,Y,Y,Y,256,buffer,1704305.1237047645,2.6031488023600902e-8,5.867493948655342e-7,5.378161145147625e-9,0.916602759578498,90,2.7439597679324618e-9,6.776383687228772e-16
crypto.randomBytes,Y,N,Y,N,N,256,buffer,702532.8038591065,1.1238481284932404e-7,0.000001423421076577302,2.4474914798297237e-8,1.7194430517460495,81,1.2487201427702672e-8,1.2630346159177592e-14
crypto.randomBytes,Y,N,Y,Y,N,256,buffer,723549.4114969444,1.4130118627507981e-7,0.0000013820756179334176,3.115934599265898e-8,2.2545326455618078,79,1.5897625506458665e-8,1.9966025242744802e-14
crypto.randomBytes,Y,N,Y,N,Y,4096,hex,1752132.1045438335,8.00381036763837e-9,5.70733221203289e-7,1.6628683162472408e-9,0.2913564962525539,89,8.484022021669596e-10,6.406098040111545e-17
crypto.randomBytes,Y,N,Y,Y,Y,4096,hex,1762249.2803368042,1.1419262095018906e-8,5.674566085275281e-7,2.333459129812891e-9,0.4112136672208112,92,1.1905403723535157e-9,1.3039954679473556e-16
crypto.randomBytes,Y,N,Y,N,N,4096,hex,1043830.5007219223,5.055645091288977e-8,9.58009944438672e-7,1.2016505613340879e-8,1.2543195071301398,68,6.130870210888204e-9,2.5559547289074328e-15
crypto.randomBytes,Y,N,Y,Y,N,4096,hex,1058673.11576106,4.9519545997925296e-8,9.445786287688235e-7,1.0989689556244677e-8,1.1634488883756333,78,5.606984467471774e-9,2.452185435840639e-15
