Method,GUID,Leaky,Random,Re-use,Sync,Cache,Format,Ops/sec,Deviation,Mean,MOE,RME,Samples,SEM,Variance
/dev/urandom,Y,Y,Y,Y,Y,65536,hex,2724804.027809898,5.280062799009304e-9,3.6699887030179013e-7,1.1717847938472554e-9,0.3192883926001392,78,5.978493846159467e-10,2.787906316148197e-17
/dev/urandom,Y,Y,Y,N,N,65536,buffer,2349049.7384604667,2.4681021694464368e-8,4.257040554004555e-7,5.309824400881454e-9,1.2473041620161582,83,2.7090940820823744e-9,6.091528318826208e-16
/dev/urandom,Y,Y,Y,Y,N,65536,buffer,2459498.7827472636,2.136824569521573e-8,4.0658690584225397e-7,4.625066844063288e-9,1.1375346273098386,82,2.359727981664943e-9,4.566019240911055e-16
/dev/urandom,Y,Y,Y,Y,Y,65536,buffer,3893423.315121648,3.178504245503555e-9,2.568433789657818e-7,6.965204528523276e-10,0.2711848970594341,80,3.5536757798588144e-10,1.0102889238684121e-17
uuid-1345/v1,Y,Y,N,N,Y,,uuid,11195.203911678282,0.000008809915975914637,0.00008932396478789007,0.0000018729163238790744,2.096768015533712,85,9.555695529995278e-7,7.761461950267597e-11
uuid-1345/v1,Y,Y,N,N,Y,,hex,10750.062708643003,0.000010286397869515687,0.00009302271317878029,0.000002212994546209557,2.37898301456377,83,0.0000011290788501069168,1.0580998112997687e-10
uuid-1345/v1,Y,Y,N,N,Y,,buffer,11214.836382487932,0.000009915109771661585,0.00008916759602141936,0.0000021078715160470037,2.363943416777393,85,0.0000010754446510443896,9.830940178409903e-11
uuid-1345/v4,Y,N,Y,N,Y,,uuid,356196.1284834817,4.033798080756376e-7,0.000002807442080455892,8.287995950411576e-8,2.9521520704233772,91,4.2285693624548855e-8,1.6271526956313821e-13
uuid-1345/v4,Y,N,Y,N,Y,,hex,383376.55160045903,8.018637667506067e-8,0.000002608401572358456,1.675387709010207e-8,0.6423043624741265,88,8.547896474541872e-9,6.4298550042747134e-15
uuid-1345/v4,Y,N,Y,N,Y,,buffer,409581.5840085447,2.740310542222557e-7,0.0000024415160227983736,5.725514472259068e-8,2.3450652868117157,88,2.921180853193402e-8,7.509301867816085e-14
uuid-1345/v4fast,Y,N,N,N,Y,,uuid,4204263.233320213,1.0277830253515184e-8,2.3785380327156033e-7,2.1234217297053266e-9,0.8927423907033315,90,1.0833784335231259e-9,1.0563379472007199e-16
uuid-1345/v4fast,Y,N,N,N,Y,,hex,3899982.457464866,1.2338755431834625e-8,2.5641140977081145e-7,2.5927927351024947e-9,1.011184618274208,87,1.322853436276783e-9,1.5224488560662846e-16
uuid-1345/v4fast,Y,N,N,N,Y,,buffer,3938513.4190283935,4.9087343248393274e-8,2.539029053877627e-7,1.0141550184825528e-8,3.9942631492685226,90,5.174260298380372e-9,2.409567267185581e-15
hyperid cold start,Y,Y,N,N,Y,,other,124902.6503670882,1.7146898996676034e-7,0.000008006235232487105,3.5826165263812556e-8,0.44747829939394995,88,1.827865574684314e-8,2.9401614520220956e-14
hyperid normal,Y,Y,N,N,Y,,other,6094223.974725953,6.975839952758007e-8,1.640898011210637e-7,1.5382928934103024e-8,9.37470143117162,79,7.8484331296444e-9,4.8662343046494825e-15
cuid,Y,Y,N,N,Y,,other,165924.02567950863,9.176039799397554e-7,0.000006026854736104071,1.9064102159062166e-7,3.163192576197007,89,9.726582734215392e-8,8.41997064001279e-13
shortid,N,Y,Y,N,Y,,other,45750.492310825066,9.015073876724181e-7,0.000021857688289037037,1.8835798043460184e-7,0.861747033555579,88,9.610101042581727e-8,8.127155700279477e-13
nanoid,Y,N,Y,N,Y,,other,402906.4999473361,3.3061870938907723e-7,0.000002481965419100238,6.648469717099508e-8,2.6787116637224186,95,3.392076386275259e-8,1.0930873099809911e-13
